description,phase,cout
Mise a disposition du Wi-Fi gratuit,2,600
Respect des preferences musicales du client,2,500
Remise d’une carte de fidelite physique,2,400
Presentation des offres du jour,2,900
Reponse immediate aux questions du client,2,700
Mise a disposition d’un espace d’attente confortable,2,1200
Presentation des nouveautes produits,2,1100
Proposition d’un massage ou soin complementaire,2,2000
Remise d’un bon de reduction pour achat produit,2,800
Prise en compte des allergies ou intolerances,2,600
Mise a disposition d’un miroir connecte,2,1700
Realisation de videos souvenirs (avec accord),2,1500
Proposition de prise de rendez-vous pour la prochaine visite,2,900
Remise d’un cadeau de bienvenue,2,1000
Presentation des avantages du programme fidelite,2,1200
Reponse personnalisee aux demandes specifiques,2,1100
Mise a disposition d’un espace enfants,2,800
Presentation des packs evenementiels,2,2000
Remise d’un echantillon produit,2,700
Proposition de service d’abonnement,2,1300
Presentation des offres saisonnieres,2,900
Remise d’un QR code pour avis instantane,2,600
Prise en compte des retours en temps reel,2,500
Mise a disposition d’un espace photo,2,400
Presentation des services a domicile,2,1000
Remise d’un guide d’entretien personnalise,2,1200
Proposition de participation a un jeu concours,2,1100
Presentation des offres partenaires,2,800
Remise d’un bon pour prochaine visite,2,900
Prise en compte des preferences de coupe,2,700
Mise a disposition d’un espace privatisable,2,1200
Presentation des offres pour groupes,2,1100
Remise d’un code promo pour achat en ligne,2,800
Prise en compte des demandes de confidentialite,2,600
Mise a disposition d’un espace de travail,2,500
Presentation des offres pour etudiants,2,400
Remise d’un bon anniversaire,2,1000
Prise en compte des demandes de retouche,2,1200
Mise a disposition d’un espace detente,2,1100
Presentation des offres pour entreprises,2,800
Remise d’un bon de parrainage,2,900
Prise en compte des demandes de changement de barbier,2,700
Mise a disposition d’un espace VIP,2,1200
Presentation des offres pour familles,2,1100
Remise d’un bon de fidelite,2,800
Prise en compte des demandes de reservation express,2,600
Mise a disposition d’un espace evenementiel,2,500
Presentation des offres pour mariages,2,400
Remise d’un bon de reduction pour pack evenement,2,1000
Prise en compte des demandes de reservation multicanal,2,1200
Mise a disposition d’un espace presse,2,1100
Presentation des offres pour influenceurs,2,800
Remise d’un bon de reduction pour pack influenceur,2,900
Prise en compte des demandes de reservation multilingue,2,700
Mise a disposition d’un espace coworking,2,1200
Presentation des offres pour coachs,2,1100
Remise d’un bon de reduction pour pack coach,2,800
Prise en compte des demandes de reservation personnalisee,2,600
Mise a disposition d’un espace formation,2,500
Presentation des offres pour formateurs,2,400
Remise d’un bon de reduction pour pack formateur,2,1000
Prise en compte des demandes de reservation evenementielle,2,1200
Mise a disposition d’un espace seminaire,2,1100
Presentation des offres pour seminaires,2,800
Remise d’un bon de reduction pour pack seminaire,2,900
Prise en compte des demandes de reservation corporate,2,700
Mise a disposition d’un espace corporate,2,1200
Presentation des offres pour entreprises corporate,2,1100
Remise d’un bon de reduction pour pack corporate,2,800
Prise en compte des demandes de reservation VIP,2,600
Mise a disposition d’un espace VIP corporate,2,500
Presentation des offres pour VIP corporate,2,400
Remise d’un bon de reduction pour pack VIP corporate,2,1000
Prise en compte des demandes de reservation evenement VIP,2,1200
Mise a disposition d’un espace evenement VIP,2,1100
Presentation des offres pour evenements VIP,2,800
Remise d’un bon de reduction pour pack evenement VIP,2,900
Prise en compte des demandes de reservation evenementiel corporate,2,700
Mise a disposition d’un espace evenementiel corporate,2,1200
Presentation des offres pour evenements corporate,2,1100
Remise d’un bon de reduction pour pack evenementiel corporate,2,800
Prise en compte des demandes de reservation evenementiel formateur,2,600
Mise a disposition d’un espace evenementiel formateur,2,500
Presentation des offres pour evenements formateur,2,400
Remise d’un bon de reduction pour pack evenementiel formateur,2,1000
Prise en compte des demandes de reservation evenementiel coach,2,1200
Mise a disposition d’un espace evenementiel coach,2,1100
Presentation des offres pour evenements coach,2,800
Remise d’un bon de reduction pour pack evenementiel coach,2,900
Envoi d’un message de remerciement personnalise,3,500
Demande d’avis post-prestation,3,600
Reponse aux avis Google/Yelp,3,700
Partage de photos sur les reseaux (avec accord),3,800
Invitation a recommander le salon,3,900
Lancement d’un programme de parrainage,3,1000
Envoi d’un mail de satisfaction,3,1100
Invitation a un sondage post-visite,3,1200
Envoi d’un bon de reduction pour prochaine visite,3,1300
Gestion proactive des reclamations,3,1400
Proposition de retouche gratuite,3,1500
Appel de suivi apres experience negative,3,1600
Proposition de changement de barbier,3,1700
Envoi de conseils d’entretien personnalises,3,1800
Proposition d’achat de produits recommandes,3,1900
Mise a disposition des photos dans l’espace client,3,2000
Envoi de rappels pour prochaine coupe,3,2100
Envoi de reçu/facture par email,3,2200
Invitation a une campagne de fidelite,3,2300
Invitation a un evenement du salon,3,2400
Envoi de tutoriels video personnalises,3,2500
Envoi d’une playlist musicale du salon,3,2600
Mise a disposition de la carte fidelite digitale,3,2700
Proposition de service a domicile,3,2800
Mise a jour du scoring client,3,2900
Gestion de la resiliation du compte client,3,3000
Envoi de notifications push personnalisees,3,3100
Envoi d’articles sur les styles tendance,3,3200
Invitation a partager sa coupe sur la communaute,3,3300
Gestion des plaintes via formulaire,3,3400
Proposition de packs evenementiels,3,3500
Envoi d’une offre speciale anniversaire,3,3600
Mise a disposition de l’historique de rendez-vous,3,3700
Relance des clients inactifs,3,3800
Envoi d’un questionnaire de satisfaction approfondi,3,3900
Proposition de reinscription apres absence,3,4000
Envoi d’un guide de fidelite,3,4100
Invitation a un live exclusif,3,4200
Envoi d’un e-book de conseils,3,4300
Proposition de packs famille,3,4400
Envoi d’un code promo pour parrainage,3,4500
Invitation a un evenement VIP,3,4600
Envoi d’un rapport d’historique personnalise,3,4700
Proposition de packs corporate,3,4800
Envoi d’un code promo pour packs corporate,3,4900
Invitation a un evenement corporate,3,5000
Envoi d’un rapport d’historique corporate,3,5100
Proposition de packs formateur,3,5200
Envoi d’un code promo pour packs formateur,3,5300
Invitation a un evenement formateur,3,5400
Envoi d’un rapport d’historique formateur,3,5500
Proposition de packs coach,3,5600
Envoi d’un code promo pour packs coach,3,5700
Invitation a un evenement coach,3,5800
Envoi d’un rapport d’historique coach,3,5900
Proposition de packs evenementiel,3,6000
Envoi d’un code promo pour packs evenementiel,3,6100
Invitation a un evenement evenementiel,3,6200
Envoi d’un rapport d’historique evenementiel,3,6300
Proposition de packs VIP,3,6400
Envoi d’un code promo pour packs VIP,3,6500
Invitation a un evenement VIP,3,6600
Envoi d’un rapport d’historique VIP,3,6700
Proposition de packs influenceur,3,6800
Envoi d’un code promo pour packs influenceur,3,6900
Invitation a un evenement influenceur,3,7000
Envoi d’un rapport d’historique influenceur,3,7100
Proposition de packs evenementiel corporate,3,7200
Envoi d’un code promo pour packs evenementiel corporate,3,7300
Invitation a un evenement evenementiel corporate,3,7400
Envoi d’un rapport d’historique evenementiel corporate,3,7500
Proposition de packs evenementiel formateur,3,7600
Envoi d’un code promo pour packs evenementiel formateur,3,7700
Invitation a un evenement evenementiel formateur,3,7800
Envoi d’un rapport d’historique evenementiel formateur,3,7900
Proposition de packs evenementiel coach,3,8000
Envoi d’un code promo pour packs evenementiel coach,3,8100
Invitation a un evenement evenementiel coach,3,8200
Envoi d’un rapport d’historique evenementiel coach,3,8300
Proposition de packs evenementiel VIP,3,8400
Envoi d’un code promo pour packs evenementiel VIP,3,8500
Invitation a un evenement evenementiel VIP,3,8600
Envoi d’un rapport d’historique evenementiel VIP,3,8700
Proposition de packs evenementiel influenceur,3,8800
Envoi d’un code promo pour packs evenementiel influenceur,3,8900
Invitation a un evenement evenementiel influenceur,3,9000
Envoi d’un rapport d’historique evenementiel influenceur,3,9100
Proposition de packs evenementiel famille,3,9200
Envoi d’un code promo pour packs evenementiel famille,3,9300
Invitation a un evenement evenementiel famille,3,9400
Envoi d’un rapport d’historique evenementiel famille,3,9500
Proposition de packs evenementiel etudiant,3,9600
Envoi d’un code promo pour packs evenementiel etudiant,3,9700
Invitation a un evenement evenementiel etudiant,3,9800
Envoi d’un rapport d’historique evenementiel etudiant,3,9900
Proposition de packs evenementiel groupe,3,10000
Envoi d’un code promo pour packs evenementiel groupe,3,10100
Invitation a un evenement evenementiel groupe,3,10200
Envoi d’un rapport d’historique evenementiel groupe,3,10300
Relance personnalisee pour reactivation client,3,10400
